2025-09-12 18:51:48 upgrade libcc1-0:amd64 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:48 status half-configured libcc1-0:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status unpacked libcc1-0:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status half-installed libcc1-0:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status unpacked libcc1-0:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:48 upgrade libgomp1:amd64 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:48 status half-configured libgomp1:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status unpacked libgomp1:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status half-installed libgomp1:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status unpacked libgomp1:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:48 upgrade libitm1:amd64 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:48 status half-configured libitm1:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status unpacked libitm1:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status half-installed libitm1:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status unpacked libitm1:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:49 upgrade libasan8:amd64 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:49 status half-configured libasan8:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status unpacked libasan8:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status half-installed libasan8:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status unpacked libasan8:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:49 upgrade liblsan0:amd64 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:49 status half-configured liblsan0:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status unpacked liblsan0:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status half-installed liblsan0:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status unpacked liblsan0:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:49 upgrade libtsan2:amd64 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:49 status half-configured libtsan2:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status unpacked libtsan2:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status half-installed libtsan2:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status unpacked libtsan2:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:49 upgrade libubsan1:amd64 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:49 status half-configured libubsan1:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status unpacked libubsan1:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status half-installed libubsan1:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status unpacked libubsan1:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:49 upgrade libquadmath0:amd64 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:49 status half-configured libquadmath0:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status unpacked libquadmath0:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status half-installed libquadmath0:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:49 status unpacked libquadmath0:amd64 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:49 upgrade libgcc-12-dev:amd64 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
