2025-04-15 17:15:04 status unpacked libmd0:amd64 1.1.0-2build2
2025-04-15 17:15:04 status half-configured libmd0:amd64 1.1.0-2build2
2025-04-15 17:15:04 status installed libmd0:amd64 1.1.0-2build2
2025-04-15 17:15:04 configure libattr1:amd64 1:2.5.2-3 <none>
2025-04-15 17:15:04 status unpacked libattr1:amd64 1:2.5.2-3
2025-04-15 17:15:04 status half-configured libattr1:amd64 1:2.5.2-3
2025-04-15 17:15:04 status installed libattr1:amd64 1:2.5.2-3
2025-04-15 17:15:04 configure sysvinit-utils:amd64 3.14-1ubuntu1 <none>
2025-04-15 17:15:04 status unpacked sysvinit-utils:amd64 3.14-1ubuntu1
2025-04-15 17:15:04 status half-configured sysvinit-utils:amd64 3.14-1ubuntu1
2025-04-15 17:15:04 status installed sysvinit-utils:amd64 3.14-1ubuntu1
2025-04-15 17:15:04 configure libext2fs2t64:amd64 1.47.2-1ubuntu1 <none>
2025-04-15 17:15:04 status unpacked libext2fs2t64:amd64 1.47.2-1ubuntu1
2025-04-15 17:15:04 status half-configured libext2fs2t64:amd64 1.47.2-1ubuntu1
2025-04-15 17:15:04 status installed libext2fs2t64:amd64 1.47.2-1ubuntu1
2025-04-15 17:15:04 configure debianutils:amd64 5.21 <none>
2025-04-15 17:15:04 status unpacked debianutils:amd64 5.21
