2025/12/17 22:53:22 Starting supervisor with config: config/config.json, workers: 4
2025/12/17 22:53:30 [worker 1] tick=600 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 0] tick=600 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:30 [worker 2] tick=600 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 3] tick=600 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 1] tick=610 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 0] tick=610 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:30 [worker 2] tick=610 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 3] tick=610 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 1] tick=620 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 0] tick=620 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:30 [worker 2] tick=620 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 3] tick=620 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 1] tick=630 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 0] tick=630 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:30 [worker 2] tick=630 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 3] tick=630 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 1] tick=640 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 0] tick=640 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:30 [worker 2] tick=640 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 3] tick=640 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 1] tick=650 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:30 [worker 0] tick=650 mode=heavy work_us=9000 sleep_us=1000 cpu=0
